Jrk nr,Maakond,G01Q02Klass. Mitmendas klassis õpib Teie laps?,"G01Q03. Kas olete teadlik, et Teie lapse koolis rakendatakse koolikava (koolipiima ning koolipuu- ja köögivilja programm)?",G01Q14. Kus Te elate?,"G02Q04SuuakseKV[1]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 1]","G02Q04SuuakseKV[2]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 2]","G02Q04SuuakseKV[3]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 3]","G02Q04SuuakseKV[4]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 4]","G02Q04SuuakseKV[5]. Palun hinnake, milliseid  värskeid köögivilju süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 5 vilja, mida süüakse meelsasti.  [Järjestus 5]","G02Q05SuuakseMarjad[1]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 1]","G02Q05SuuakseMarjad[2]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 2]","G02Q05SuuakseMarjad[3]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 3]","G02Q05SuuakseMarjad[4]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 4]","G02Q05SuuakseMarjad[5]. Palun hinnake, milliseid  puuvilju ja marju süüakse teie kodus kõige meelsamini.  Palun märkige kuni 5 vilja, mida süüakse meelsasti.   [Järjestus 5]","G02Q06SuuaksePiim[1]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 1]","G02Q06SuuaksePiim[2]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 2]","G02Q06SuuaksePiim[3]. Palun hinnake, milliseid piimatooteid süüakse Teie kodus kõige meelsamini.   Palun märkige kuni 3 toodet.  [Järjestus 3]","G02Q07Suuakse[SQ001]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked puuviljad]","G02Q07Suuakse[SQ002]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked köögiviljad ]","G02Q07Suuakse[SQ003]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Värsked või eelnevalt külmutatud marjad ]","G02Q07Suuakse[SQ004]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Joogipiim]","G02Q07Suuakse[SQ005]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Keefir]","G02Q07Suuakse[SQ006]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Hapupiim]","G02Q07Suuakse[SQ007]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Pett]","G02Q07Suuakse[SQ008]. Kui sageli Te sööte kodus värskeid puu- ja köögivilju, marju (v.a kartul) ning piimatooteid?  [Jogurt]",G03Q8Muutus[SQ001]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Köögivilja osas],G03Q8Muutus[SQ002]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Puuvilja osas],G03Q8Muutus[SQ003]. Milliseid muutusi olete märganud oma lapse toitumisharjumustes​​​ viimase aasta jooksul?  [Piimatoodete osas],"G03Q10Sagedus. Palun hinnake, kui sagedasti räägite oma lapsega tervislikust toitumisest?","G02Q12Vajalikkus[SQ001]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipiimakava]","G02Q12Vajalikkus[SQ002]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Koolipuuvilja ja -köögiviljakava]","G02Q12Vajalikkus[SQ003]. Palun hinnake, kui vajalikuks peate koolikava läbiviimist Teie lapse koolis?  [Kaasnevad haridusmeetmed]"
14,Tartumaa,8. klassis,Ei ole,Linna lähikonnas,Porgand,Tomat,Spargelkapsas ehk brokoli,Herned,Sibul,Maasikad,Mustikad,Õun,Pirn,Vaarikad,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
15,Tartumaa,4. klassis,"Jah, olen",Linnas,Kurk,Paprika,Sibul,Porgand,Tomat,Maasikad,Vaarikad,Õun,Pirn,Mustikad,Jogurt,Joogipiim,Keefir,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Sööb pigem rohkem,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Pigem vajalik
17,Tartumaa,11. klassis,Ei ole,Linnas,Kurk,Porgand,Lehtkapsas ,,,Maasikad,Õun,Mustikad,,,Joogipiim,Jogurt,Keefir,Iga päev,Iga päev,Ei oska öelda,Iga päev,Ei oska öelda,Ei söö/joo üldse,Ei söö/joo üldse,Ei oska öelda,Sööb pigem rohkem,Sööb palju rohkem,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
18,Tartumaa,4. klassis,"Jah, olen",Linnas,Kurk,Porgand,Sibul,Tomat,Spargelkapsas ehk brokoli,Õun,Ploomid,Mustikad,Vaarikad,Mustad sõstrad,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Paar korda kuus,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
19,Tartumaa,4. klassis,"Jah, olen",Linnas,Leht- ja peasalat,Tomat,Kurk,Naeris ,"Suvikõrvits, kabatšokk",Maasikad,Mustikad,Punased sõstrad,Vaarikad,Õun,Joogipiim,Keefir,Jogurt,5-6 päeval nädalas,5-6 päeval nädalas,1-2 korda nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Väga vajalik,Väga vajalik
21,Tartumaa,4. klassis,"Jah, olen",Linnas,Kurk,Tomat,Paprika,Nuikapsas ,Lillkapsas,Maasikad,Vaarikad,Mustikad,Õun,Pirn,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,3-4 päeval nädalas,Ei oska öelda,Ei oska öelda,Ei oska öelda,Kord kuus,Väga vajalik,Väga vajalik,Väga vajalik
22,Tartumaa,11. klassis,Ei ole,Linna lähikonnas,Kurk,Lillkapsas,Herned,Hiina kapsas,Porgand,Maasikad,Mustikad,Õun,Kirsid,Pirn,Joogipiim,Jogurt,,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,5-6 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Sööb pigem vähem,Ei ole muutusi,Sööb pigem rohkem,Ei oska öelda,Pigem vajalik,Pigem vajalik,Pigem vajalik
23,Tartumaa,4. klassis,Ei ole,Linnas,Kurk,Porgand,Tomat,,,Maasikad,Pirn,Õun,Vaarikad,Ploomid,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Vähemalt kord päevas,Väga vajalik,Väga vajalik,Väga vajalik
25,Tartumaa,11. klassis,"Jah, olen",Linnas,Kurk,Porgand,Tomat,Leht- ja peasalat,,Mustikad,Pirn,Vaarikad,Maasikad,Kirsid,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Pigem vajalik,Väga vajalik,Pigem ebavajalik
26,Tartumaa,4. klassis,"Jah, olen",Linnas,Kurk,Paprika,Porgand,,,Mustikad,Vaarikad,Õun,Pirn,,Joogipiim,Jogurt,Keefir,Iga päev,3-4 päeval nädalas,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem vähem,Kord nädalas,Väga vajalik,Väga vajalik,Väga vajalik
27,Tartumaa,11. klassis,Ei ole,Linnas,Paprika,Sibul,"Suvikõrvits, kabatšokk",Tomat,Kurk,Maasikad,Mustad sõstrad,Pirn,Õun,Mustikad,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Paar korda kuus,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Kord kuus,Pigem vajalik,Pigem vajalik,Väga vajalik
29,Tartumaa,8. klassis,Ei ole,Linnas,Tomat,Kurk,Paprika,Herned,Hiina kapsas,Maasikad,Vaarikad,Õun,Pirn,Ploomid,Jogurt,,,Iga päev,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
30,Põlvamaa,4. klassis,"Jah, olen",Linnas,Herned,Kurk,Porgand,Tomat,Leht- ja peasalat,Vaarikad,Maasikad,Mustikad,Pirn,Õun,Jogurt,Joogipiim,Keefir,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Pigem vajalik,Pigem vajalik,Pigem vajalik
31,Põlvamaa,4. klassis,"Jah, olen",Maal,Porgand,Herned,Kurk,Tomat,Kaalikas,Maasikad,Õun,Pirn,Mustikad,Ploomid,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
32,Põlvamaa,4. klassis,Ei oska öelda,Linnas,Tomat,"Suvikõrvits, kabatšokk",Porgand,Sibul,Kurk,Maasikad,Mustikad,Ploomid,Pirn,Õun,Jogurt,Joogipiim,Keefir,Iga päev,Iga päev,1-2 korda nädalas,1-2 korda nädalas,Ei oska öelda,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
34,Põlvamaa,4. klassis,"Jah, olen",Linnas,Porgand,Tomat,Sibul,Kurk,Leht- ja peasalat,Õun,Maasikad,Pirn,Mustad sõstrad,Vaarikad,Joogipiim,Keefir,,Iga päev,5-6 päeval nädalas,1-2 korda nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Sööb pigem rohkem,Sööb pigem vähem,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
35,Põlvamaa,4. klassis,"Jah, olen",Linnas,Kurk,Nuikapsas ,Paprika,Porgand,Tomat,Astelpaju marjad,Maasikad,Mustikad,Pirn,Õun,Joogipiim,Jogurt,,5-6 päeval nädalas,5-6 päeval nädalas,3-4 päeval nädalas,Iga päev,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,5-6 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb palju rohkem,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
36,Tartumaa,4. klassis,Ei oska öelda,Linnas,Hiina kapsas,Kurk,Leht- ja peasalat,Porgand,Sibul,Maasikad,Mustikad,Pirn,Õun,Vaarikad,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
38,Põlvamaa,8. klassis,"Jah, olen",Maal,"Kapsas (valge, punane) ",Kurk,Porgand,Tomat,Sibul,Maasikad,Mustikad,Vaarikad,Õun,Kirsid,Joogipiim,Keefir,Jogurt,1-2 korda nädalas,1-2 korda nädalas,Paar korda kuus,Iga päev,1-2 korda nädalas,Paar korda kuus,Paar korda kuus,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
39,Põlvamaa,11. klassis,"Jah, olen",Maal,Kurk,Leht- ja peasalat,Paprika,Porgand,Tomat,Vaarikad,Maasikad,Õun,Pirn,Mustad sõstrad,Joogipiim,Jogurt,Keefir,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,3-4 päeval nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem vähem,Ei ole muutusi,Ei ole muutusi,Kord nädalas,Väga vajalik,Väga vajalik,Pigem vajalik
40,Põlvamaa,11. klassis,Ei ole,Maal,Kurk,Tomat,Sibul,Paprika,Porgand,Jõhvikad,Maasikad,Ploomid,Vaarikad,Õun,Jogurt,Joogipiim,Hapupiim,3-4 päeval nädalas,3-4 päeval nädalas,1-2 korda nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,3-4 päeval nädalas,Sööb pigem rohkem,Sööb pigem rohkem,Sööb pigem rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
42,Hiiumaa,8. klassis,"Jah, olen",Linnas,Paprika,Tomat,Porgand,Lillkapsas,Kurk,Mustikad,Vaarikad,Õun,Maasikad,Kirsid,Joogipiim,Jogurt,Keefir,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Iga päev,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,1-2 korda nädalas,Ei ole muutusi,Ei ole muutusi,Ei ole muutusi,Mitu korda kuus,Väga vajalik,Väga vajalik,Väga vajalik
43,Põlvamaa,8. klassis,"Jah, olen",Maal,Herned,"Kapsas (valge, punane) ",Kurk,Kõrvits ,Porgand,Maasikad,Ploomid,Pirn,Vaarikad,Õun,Jogurt,Joogipiim,Keefir,Iga päev,1-2 korda nädalas,3-4 päeval nädalas,5-6 päeval nädalas,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Iga päev,Sööb pigem vähem,Sööb palju rohkem,Sööb pigem vähem,Kord kuus,Pigem ebavajalik,Pigem vajalik,Pigem vajalik
44,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Kurk,Porgand,,,,Õun,Maasikad,,,,Joogipiim,,,1-2 korda nädalas,1-2 korda nädalas,Ei oska öelda,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Ei ole muutusi,Sööb pigem rohkem,Mitu korda nädalas,Väga vajalik,Väga vajalik,Väga vajalik
46,Hiiumaa,8. klassis,Ei ole,Linnas,Kurk,Porgand,Tomat,Peet,,Maasikad,Pirn,Vaarikad,Õun,Mustikad,Jogurt,,,1-2 korda nädalas,5-6 päeval nädalas,1-2 korda nädalas,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Sööb pigem rohkem,Sööb pigem vähem,Kord kuus,Pigem ebavajalik,Pigem ebavajalik,Pigem ebavajalik
47,Tartumaa,4. klassis,"Jah, olen",Linna lähikonnas,Porgand,Kurk,Tomat,Paprika,Sibul,Maasikad,Mustikad,Pirn,Vaarikad,Õun,Joogipiim,Keefir,,3-4 päeval nädalas,1-2 korda nädalas,3-4 päeval nädalas,Paar korda kuus,Paar korda kuus,Ei söö/joo üldse,Ei söö/joo üldse,Paar korda kuus,Ei ole muutusi,Sööb pigem vähem,Sööb pigem vähem,Ei oska öelda,Väga vajalik,Väga vajalik,Väga vajalik
