Respondent ID,Collector ID,Start Date,End Date,IP,Email,First Name,Last Name,Custom Data 1,Gender,Tenure,Minu tööülesanded on arusaadavalt määratletud ja selgitatud,Minu häid tulemusi tööl tunnustatakse,Saan enda osakonnast piisavalt kiiresti ja piisavas mahus kätte tööks vajalikku informatsiooni,Saan teistest osakondadest piisavalt kiiresti ja piisavas mahus kätte tööks vajalikku informatsiooni,Üldiselt on minu arvates info liikumine Mobires hea,Minu töövahendid võimaldavad mul oma tööd hästi teha,Minu füüsiline töökeskkond on mugav ja meeldiv,Minu töö ei kahjusta mu tervist,Tööõhkkond on positiivne,Saan vajadusel kolleegidelt piisavalt tuge,Minu töö on mulle huvitav,"Minu töö on oluline, tunnen end meeskonnas väärtusliku liikmena",Olen rahul tööalaste enesetäiendusvõimalustega,Minu töö jätab mulle piisavalt aega isikliku elu jaoks,Mul on oma kolleegidega meeldiv ja mugav suhelda,Ma ei ole Mobires kogenud töökiusamist,"Mobire hoolib oma töötajatest (nt paindlikkus, erinevad vastutulekud, lisahüved)","Olen uhke, et töötan Mobires",Minu töötasu vastab mu tööpanusele,Minu töötasu on õiglane võrreldes kolleegidega,Minu töötasu on sektoris konkurentsivõimeline,Kokkuvõttes olen oma tööga rahul,Töötajatel on piisavad võimalused kaasa rääkida ettevõtte sisulises arengus,Response,Juht leiab võimalusi osakonna arenguks,"Kui osakonnas ilmnevad probleemid, siis püütakse neid lahendada",Minu ja minu juhi vaheline koostöö on hea,"Osakond saab juhtide tehtud otsustest (strateegilised, struktuurilised) õigeaegselt teada",Response,Juht leiab võimalusi osakonna arenguks,"Kui osakonnas ilmnevad probleemid, siis püütakse neid lahendada",Minu ja vastava osakonna juhi vaheline koostöö on hea,"Osakond saab juhtide tehtud otsustest (strateegilised, struktuurilised) õigeaegselt teada"
1.14E+11,423104966,28/10/2022 12:13,28/10/2022 12:22,,,,,,Naine,2 - 5 aastat,Pigem nõus,Pigem ei ole nõus,Täiesti nõus,Pigem ei ole nõus,Pigem ei ole nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem ei ole nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Pigem ei ole nõus,Pigem ei ole nõus,Ei oska öelda,Pigem nõus,Üldiselt nõus,Karin Raide,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Rainart Ots,Ei oska öelda,Üldiselt nõus,Täiesti nõus,Pigem nõus
1.14E+11,423104966,27/10/2022 09:26,27/10/2022 09:28,,,,,,Mees,kuni 2 aastat,Pigem nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Üldiselt ei ole nõus,Pigem nõus,Üldiselt ei ole nõus,Üldiselt ei ole nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Üldiselt ei ole nõus,Pigem nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,,,,,,,,,,,,
1.14E+11,423104966,25/10/2022 11:50,25/10/2022 12:48,,,,,,Mees,2 - 5 aastat,Pigem nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Ei oska öelda,Ei oska öelda,Üldiselt nõus,Pigem nõus,Gert Vatt,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Simmo Joosep,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus
1.14E+11,423104966,25/10/2022 11:33,25/10/2022 11:37,,,,,,Mees,kuni 2 aastat,Pigem nõus,Pigem nõus,Pigem nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Madis Puusepp,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Gert Vatt,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,25/10/2022 11:28,25/10/2022 11:34,,,,,,Mees,enam kui 5 aastat,Pigem nõus,Pigem ei ole nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Ei ole üldse nõus,Üldiselt ei ole nõus,Ei ole üldse nõus,Üldiselt nõus,Üldiselt nõus,Gert Vatt,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Madis Puusepp,Ei oska öelda,Ei oska öelda,Täiesti nõus,Ei oska öelda
1.14E+11,423104966,25/10/2022 11:14,25/10/2022 11:21,,,,,,Naine,kuni 2 aastat,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Pigem ei ole nõus,Ei oska öelda,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Laura Klemmer,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Gert Vatt,Pigem nõus,Täiesti nõus,Täiesti nõus,Ei oska öelda
1.14E+11,423104966,25/10/2022 11:03,25/10/2022 11:08,,,,,,Naine,kuni 2 aastat,Pigem nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Pigem ei ole nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Karin Raide,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Tannar Esna,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Pigem nõus
1.14E+11,423104966,25/10/2022 10:50,25/10/2022 11:00,,,,,,Naine,kuni 2 aastat,Üldiselt nõus,Pigem ei ole nõus,Pigem ei ole nõus,Pigem ei ole nõus,Pigem ei ole nõus,Täiesti nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Ei ole üldse nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Pigem ei ole nõus,Laura Klemmer,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Ei oska öelda,Rainart Ots,Ei oska öelda,Ei oska öelda,Pigem nõus,Ei oska öelda
1.14E+11,423104966,25/10/2022 10:30,25/10/2022 10:46,,,,,,Naine,kuni 2 aastat,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Ei oska öelda,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Simmo Joosep,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Ei oska öelda,Andrus Valma,Täiesti nõus,Täiesti nõus,Täiesti nõus,Ei oska öelda
1.14E+11,423104966,25/10/2022 10:30,25/10/2022 10:33,,,,,,Mees,kuni 2 aastat,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Madis Puusepp,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Gert Vatt,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
1.14E+11,423104966,25/10/2022 10:13,25/10/2022 10:29,,,,,,Mees,enam kui 5 aastat,Üldiselt nõus,Täiesti nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem ei ole nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Üldiselt nõus,Andrus Valma,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Tannar Esna,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,25/10/2022 10:03,25/10/2022 10:28,,,,,,Naine,2 - 5 aastat,Üldiselt nõus,Pigem nõus,Pigem nõus,Pigem nõus,Pigem ei ole nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Laura Klemmer,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Simmo Joosep,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,25/10/2022 09:30,25/10/2022 09:39,,,,,,Naine,enam kui 5 aastat,Täiesti nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Ei oska öelda,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Ei oska öelda,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Marek Kurs,Ei oska öelda,Täiesti nõus,Täiesti nõus,Täiesti nõus,Rainart Ots,Ei oska öelda,Pigem nõus,Üldiselt nõus,Ei oska öelda
1.14E+11,423104966,25/10/2022 09:20,25/10/2022 09:35,,,,,,Mees,enam kui 5 aastat,Üldiselt nõus,Üldiselt nõus,Pigem nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Ei oska öelda,Üldiselt nõus,Täiesti nõus,Pigem nõus,Marek Kurs,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Andrus Valma,Täiesti nõus,Pigem nõus,Üldiselt nõus,Pigem nõus
1.14E+11,423104966,25/10/2022 09:24,25/10/2022 09:27,,,,,,Naine,kuni 2 aastat,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Laura Klemmer,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Andrus Valma,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,25/10/2022 09:10,25/10/2022 09:14,,,,,,Mees,kuni 2 aastat,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Täiesti nõus,Pigem ei ole nõus,Üldiselt nõus,Pigem nõus,Pigem ei ole nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Pelle Kongo,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Madis Puusepp,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus
1.14E+11,423104966,25/10/2022 09:05,25/10/2022 09:10,,,,,,Naine,kuni 2 aastat,Täiesti nõus,Ei oska öelda,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Pigem nõus,Ei oska öelda,Pigem nõus,Täiesti nõus,Täiesti nõus,Marek Kurs,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Madis Puusepp,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
1.14E+11,423104966,25/10/2022 09:01,25/10/2022 09:07,,,,,,Mees,kuni 2 aastat,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Pigem nõus,Pigem nõus,Täiesti nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Üldiselt nõus,Üldiselt nõus,Üldiselt nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Madis Puusepp,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus,Gert Vatt,Täiesti nõus,Täiesti nõus,Täiesti nõus,Täiesti nõus
